public_metrics,id,conversation_id,author_id,lang,created_at,edit_history_tweet_ids,comment,withheld,talkid,videourl,gender
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",1.600607260421591e+18,1.600607260421591e+18,1.459266267047727e+18,fa,2022-12-07T21:44:43.000Z,['1600607260421591060'],"برای آزادی ایران
برای آزادی هممون
#مهسا_امینی 
#اعتصابات_سراسری https://t.co/kGw2qr7ayk",
"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",1.5887981767224443e+18,1.5887981767224443e+18,1.5389968068976108e+18,fa,2022-11-05T07:39:38.000Z,['1588798176722444288'],"محض رضای خدا بی شرفی و بی وجدانی تون توجیه نکنید

ایران هیچوقت سوریه نمیشه!
چون عامل تنش زایی و ناامنی در منطقه خود این رژیمه صهیونیستی اسراییلی و 
 جمهوری به ظاهر اسلامیه
که با سرگونیش
ریشه اسراییل هم خشک میشه در منطقه
و صلح به منطقه بازخواهد گشت
#مهسا_امینی",
"{'retweet_count': 9, 'reply_count': 3, 'like_count': 16, 'quote_count': 1}",1.58465509818121e+18,1.58465509818121e+18,1.5774152060488663e+18,fa,2022-10-24T21:16:31.000Z,['1584655098181210114'],"یه بسیجی واقعا انسان است؟ 
#نیکا_شاکرمی #مهسا_امینی https://t.co/aYqBDuw6TU",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.5983661310347592e+18,1.5983661310347592e+18,1.5537981280751452e+18,fa,2022-12-01T17:19:16.000Z,['1598366131034759168'],"هواپیمایی قطر تحریم شود.
#مهسا_امینی‌",
"{'retweet_count': 6, 'reply_count': 0, 'like_count': 13, 'quote_count': 1}",1.5954379862918922e+18,1.5954379862918922e+18,4822174311.0,fa,2022-11-23T15:23:52.000Z,['1595437986291892225'],جنایتی که جواب نگیرد دوام می آورد.,
"{'retweet_count': 51, 'reply_count': 3, 'like_count': 74, 'quote_count': 0}",1.5971643751143875e+18,1.5971643751143875e+18,1.3946133545646244e+18,fa,2022-11-28T09:43:55.000Z,['1597164375114387457'],"۱۴   ۱۵    ۱۶  آذر

تمام شهرهای ایران علی الخصوص تهران را برای رژیم اهریمنی جمهوری اسلامی به قیامت تبدیل می کنیم 
#مهسا_امینی
#زن_زندگی_آزادی https://t.co/lBwlhnKBBD",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",1.5882263422350377e+18,1.5882263422350377e+18,1.3751810137861693e+18,fa,2022-11-03T17:47:22.000Z,['1588226342235037697'],"نزن بسه؟ چه گه خوریا خودتم میزنیم. 
#مهسا_امینی",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1.581441863768486e+18,1.581441863768486e+18,1.5719582969567887e+18,fa,2022-10-16T00:28:16.000Z,['1581441863768485888'],"#مهسا_امینی
#OpIran
#EvinPrison 

برای زندانیای اوین
برای حسین رونقی که همیشه صدای مردم بوده

دوهزار و ‌شیشصد و بیست",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1.5799594766435615e+18,1.5799594766435615e+18,1.3909767335585423e+18,fa,2022-10-11T22:17:48.000Z,['1579959476643561472'],"برا اولین بار بار رفتم تو کوچه کلی ازین فراخوانا چسبوندم یهو شنیدم یه صدای تق تقی از پشتم میاد 
چرا دروغ... برگام ریخت :)
#مهسا_امینی
#اعتصابات_سراسری",
"{'retweet_count': 18, 'reply_count': 55, 'like_count': 235, 'quote_count': 1}",1.5935227713840497e+18,1.5935227713840497e+18,1.5277610539412152e+18,fa,2022-11-18T08:33:29.000Z,['1593522771384049668'],"امید به زندگیه من تو این شرایط داداشمه 
واسه شما کیه؟!
#مهسا_امینی https://t.co/kZ66FNwL6s",
